City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Albany,US,42.6,-73.97,78.01,66,18,2.66,few clouds,0.0,0.0
1,Mayumba,GA,-3.43,10.66,69.35,89,0,3.22,clear sky,0.0,0.0
2,Cape Town,ZA,-33.93,18.42,55.0,100,75,8.05,broken clouds,0.0,0.0
3,Rikitea,PF,-23.12,-134.97,70.56,54,47,13.71,scattered clouds,0.0,0.0
4,Jamestown,US,42.1,-79.24,68.0,93,90,3.36,light rain,0.25,0.0
5,Ponta Do Sol,PT,32.67,-17.1,69.8,68,40,9.17,scattered clouds,0.0,0.0
6,Luderitz,NA,-26.65,15.16,46.4,100,0,5.82,clear sky,0.0,0.0
7,Hermanus,ZA,-34.42,19.23,43.0,97,8,1.01,clear sky,0.0,0.0
8,Meadow Lake,US,34.8,-106.54,82.4,14,20,9.17,few clouds,0.0,0.0
9,Dikson,RU,73.51,80.55,47.05,73,60,15.19,light rain,0.21,0.0
10,Nishihara,JP,26.18,127.76,87.8,66,75,3.36,broken clouds,0.0,0.0
11,Lorengau,PG,-2.02,147.27,84.97,73,100,5.08,light rain,0.6,0.0
12,Maltahohe,NA,-24.83,16.98,41.29,64,0,3.78,clear sky,0.0,0.0
13,Mollendo,PE,-17.02,-72.01,59.34,79,59,2.77,broken clouds,0.0,0.0
14,Okhotsk,RU,59.38,143.3,50.18,77,52,11.27,broken clouds,0.0,0.0
15,Paita,PE,-5.09,-81.11,64.78,84,0,10.87,clear sky,0.0,0.0
16,Tombouctou,ML,20.0,-3.0,89.35,11,0,12.59,clear sky,0.0,0.0
17,Sao Joao Da Barra,BR,-21.64,-41.05,68.61,84,0,8.3,clear sky,0.0,0.0
18,Saskylakh,RU,71.92,114.08,87.82,22,13,8.93,few clouds,0.0,0.0
19,Hilo,US,19.73,-155.09,80.6,61,20,5.82,few clouds,0.0,0.0
20,Rio Grande,BR,-32.03,-52.1,62.01,97,95,3.0,overcast clouds,0.0,0.0
21,Ribeira Grande,PT,38.52,-28.7,66.72,92,41,14.79,scattered clouds,0.0,0.0
22,Busselton,AU,-33.65,115.33,62.01,59,34,18.77,scattered clouds,0.0,0.0
23,Kodiak,US,57.79,-152.41,51.8,81,75,10.29,broken clouds,0.0,0.0
24,Bandarbeyla,SO,9.49,50.81,86.72,52,29,25.32,scattered clouds,0.0,0.0
25,Chokurdakh,RU,70.63,147.92,69.75,31,86,8.7,overcast clouds,0.0,0.0
26,Leningradskiy,RU,69.38,178.42,35.94,82,91,16.93,overcast clouds,0.0,0.0
27,Vostok,RU,46.49,135.88,65.61,78,94,2.59,light rain,0.18,0.0
28,Araceli,PH,10.55,119.99,86.49,65,32,6.38,scattered clouds,0.0,0.0
29,Saint George,US,37.1,-113.58,91.4,13,1,3.36,clear sky,0.0,0.0
30,Souillac,MU,-20.52,57.52,75.2,64,40,9.17,scattered clouds,0.0,0.0
31,Najran,SA,17.49,44.13,80.6,28,68,4.7,broken clouds,0.0,0.0
32,Samarai,PG,-10.62,150.67,80.83,82,97,12.97,overcast clouds,0.0,0.0
33,Sagae,JP,38.37,140.27,75.2,69,75,4.7,broken clouds,0.0,0.0
34,Ostrovnoy,RU,68.05,39.51,39.33,75,100,19.17,overcast clouds,0.0,0.0
35,Tuktoyaktuk,CA,69.45,-133.04,51.8,76,75,10.29,broken clouds,0.0,0.0
36,Hohhot,CN,40.81,111.65,78.8,47,14,2.24,few clouds,0.0,0.0
37,Longyearbyen,SJ,78.22,15.64,42.8,81,20,6.93,few clouds,0.0,0.0
38,Katsuura,JP,35.13,140.3,79.0,73,75,5.82,broken clouds,0.0,0.0
39,Toba,JP,34.48,136.85,81.0,67,6,8.99,clear sky,0.0,0.0
40,Puerto Ayora,EC,-0.74,-90.35,68.0,94,26,6.38,scattered clouds,0.0,0.0
41,Caucaia,BR,-3.74,-38.65,80.6,78,75,3.36,broken clouds,0.0,0.0
42,Naryan-Mar,RU,67.67,53.09,42.4,66,100,9.46,overcast clouds,0.0,0.0
