City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Albany,US,78.01,few clouds,42.6,-73.97,
3,Rikitea,PF,70.56,scattered clouds,-23.12,-134.97,Pension Maro'i
8,Meadow Lake,US,82.4,few clouds,34.8,-106.54,JKL Inc. R.V Park and Storage
10,Nishihara,JP,87.8,broken clouds,26.18,127.76,Minshuku Agaihama
16,Tombouctou,ML,89.35,clear sky,20.0,-3.0,
18,Saskylakh,RU,87.82,few clouds,71.92,114.08,
19,Hilo,US,80.6,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
24,Bandarbeyla,SO,86.72,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
28,Araceli,PH,86.49,scattered clouds,10.55,119.99,JBryan Traveler's Inn
30,Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
31,Najran,SA,80.6,broken clouds,17.49,44.13,محمد هادي ال فطيح
32,Samarai,PG,80.83,overcast clouds,-10.62,150.67,Nuli Sapi
33,Sagae,JP,75.2,broken clouds,38.37,140.27,Hotel Symphony
36,Hohhot,CN,78.8,few clouds,40.81,111.65,Sheraton Hohhot Hotel
38,Katsuura,JP,79.0,broken clouds,35.13,140.3,Katsuura Hilltop Hotel & Residence
39,Toba,JP,81.0,clear sky,34.48,136.85,ホテル アルティア鳥羽
41,Caucaia,BR,80.6,broken clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
45,Atuona,PF,79.48,few clouds,-9.8,-139.03,Villa Enata
52,Saint-Philippe,RE,75.2,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
62,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
63,Corinto,GR,71.01,scattered clouds,37.94,22.96,Ephira Hotel
64,Soe,ID,74.95,scattered clouds,-9.86,124.28,Dena Hotel
73,Teya,RU,81.28,scattered clouds,60.38,92.63,
75,Airai,TL,70.09,clear sky,-8.93,125.41,Juvinal Martin
78,Isangel,VU,80.6,broken clouds,-19.55,169.27,Volcano Sea View Tree House
83,Port-Gentil,GA,75.2,broken clouds,-0.72,8.78,Fengshui Residence
